i,j,k,accuracy
9,0,10,53.5714285714
0,1,9,96.4285714286
0,2,8,100.0
0,0,10,53.5714285714
0,3,7,100.0
0,4,6,92.8571428571
0,1,9,96.4285714286
0,5,5,89.2857142857
0,6,4,89.2857142857
0,2,8,100.0
0,7,3,89.2857142857
0,8,2,89.2857142857
0,3,7,100.0
0,9,1,89.2857142857
0,4,6,100.0
1,0,10,53.5714285714
1,1,9,100.0
0,5,5,92.8571428571
1,2,8,100.0
1,3,7,100.0
0,6,4,92.8571428571
1,4,6,96.4285714286
1,5,5,92.8571428571
0,7,3,92.8571428571
1,6,4,89.2857142857
1,7,3,89.2857142857
0,8,2,92.8571428571
1,8,2,89.2857142857
2,0,10,53.5714285714
0,9,1,92.8571428571
