i,j,k,accuracy
0,0,10,53.5714285714
0,1,9,92.8571428571
0,2,8,92.8571428571
0,3,7,92.8571428571
0,4,6,92.8571428571
0,5,5,92.8571428571
0,6,4,92.8571428571
0,7,3,92.8571428571
0,8,2,92.8571428571
0,9,1,92.8571428571
1,0,10,53.5714285714
1,1,9,92.8571428571
1,2,8,92.8571428571
1,3,7,92.8571428571
1,4,6,92.8571428571
1,5,5,92.8571428571
1,6,4,92.8571428571
1,7,3,92.8571428571
1,8,2,92.8571428571
2,0,10,53.5714285714
2,1,9,92.8571428571
2,2,8,92.8571428571
2,3,7,92.8571428571
2,4,6,92.8571428571
2,5,5,92.8571428571
2,6,4,92.8571428571
2,7,3,92.8571428571
3,0,10,53.5714285714
3,1,9,92.8571428571
3,2,8,92.8571428571
3,3,7,92.8571428571
3,4,6,92.8571428571
3,5,5,92.8571428571
3,6,4,92.8571428571
4,0,10,53.5714285714
4,1,9,92.8571428571
4,2,8,92.8571428571
4,3,7,92.8571428571
4,4,6,92.8571428571
4,5,5,92.8571428571
5,0,10,53.5714285714
5,1,9,92.8571428571
5,2,8,92.8571428571
5,3,7,92.8571428571
5,4,6,92.8571428571
6,0,10,53.5714285714
6,1,9,92.8571428571
6,2,8,92.8571428571
6,3,7,92.8571428571
7,0,10,53.5714285714
7,1,9,92.8571428571
7,2,8,92.8571428571
8,0,10,53.5714285714
8,1,9,96.4285714286
9,0,10,53.5714285714
