i,j,k,accuracy
0,0,100,20.0
0,1,99,73.3333333333
0,2,98,66.6666666667
0,3,97,73.3333333333
0,4,96,73.3333333333
0,5,95,70.0
0,6,94,70.0
0,7,93,70.0
0,8,92,70.0
0,9,91,70.0
0,10,90,70.0
0,11,89,70.0
0,12,88,70.0
0,13,87,73.3333333333
0,14,86,73.3333333333
0,15,85,73.3333333333
0,16,84,73.3333333333
0,17,83,73.3333333333
0,18,82,73.3333333333
0,19,81,73.3333333333
0,20,80,70.0
0,21,79,70.0
0,22,78,70.0
0,23,77,70.0
0,24,76,70.0
0,25,75,70.0
0,26,74,70.0
0,27,73,70.0
0,28,72,70.0
0,29,71,70.0
0,30,70,73.3333333333
0,31,69,73.3333333333
0,32,68,73.3333333333
0,33,67,73.3333333333
0,34,66,73.3333333333
0,35,65,73.3333333333
0,36,64,73.3333333333
0,37,63,73.3333333333
0,38,62,73.3333333333
0,39,61,73.3333333333
0,40,60,73.3333333333
0,41,59,73.3333333333
0,42,58,73.3333333333
0,43,57,70.0
0,44,56,70.0
0,45,55,70.0
0,46,54,70.0
0,47,53,70.0
0,48,52,70.0
0,49,51,70.0
0,50,50,70.0
0,51,49,70.0
0,52,48,70.0
0,53,47,70.0
0,54,46,70.0
0,55,45,70.0
0,56,44,70.0
0,57,43,70.0
0,58,42,70.0
0,59,41,70.0
0,60,40,70.0
0,61,39,70.0
0,62,38,70.0
0,63,37,70.0
0,64,36,70.0
0,65,35,70.0
0,66,34,70.0
0,67,33,70.0
0,68,32,70.0
0,69,31,70.0
0,70,30,70.0
0,71,29,70.0
0,72,28,70.0
0,73,27,70.0
0,74,26,70.0
0,75,25,70.0
0,76,24,70.0
0,77,23,70.0
0,78,22,70.0
0,79,21,66.6666666667
0,80,20,66.6666666667
0,81,19,66.6666666667
0,82,18,66.6666666667
0,83,17,70.0
0,84,16,70.0
0,85,15,70.0
0,86,14,70.0
0,87,13,70.0
0,88,12,66.6666666667
0,89,11,66.6666666667
0,90,10,66.6666666667
0,91,9,66.6666666667
0,92,8,66.6666666667
0,93,7,66.6666666667
0,94,6,66.6666666667
0,95,5,70.0
0,96,4,70.0
0,97,3,70.0
0,98,2,73.3333333333
0,99,1,70.0
1,0,100,20.0
1,1,99,73.3333333333
1,2,98,66.6666666667
1,3,97,73.3333333333
1,4,96,73.3333333333
1,5,95,70.0
1,6,94,70.0
1,7,93,70.0
1,8,92,70.0
1,9,91,70.0
1,10,90,70.0
1,11,89,70.0
1,12,88,73.3333333333
1,13,87,73.3333333333
1,14,86,73.3333333333
1,15,85,73.3333333333
1,16,84,73.3333333333
1,17,83,73.3333333333
1,18,82,73.3333333333
1,19,81,70.0
1,20,80,70.0
1,21,79,70.0
1,22,78,70.0
1,23,77,70.0
1,24,76,70.0
1,25,75,70.0
1,26,74,70.0
1,27,73,70.0
1,28,72,70.0
1,29,71,70.0
1,30,70,73.3333333333
1,31,69,73.3333333333
1,32,68,73.3333333333
1,33,67,73.3333333333
1,34,66,73.3333333333
1,35,65,73.3333333333
1,36,64,73.3333333333
1,37,63,73.3333333333
1,38,62,73.3333333333
1,39,61,73.3333333333
1,40,60,73.3333333333
1,41,59,73.3333333333
1,42,58,70.0
1,43,57,70.0
1,44,56,70.0
1,45,55,70.0
1,46,54,70.0
1,47,53,70.0
1,48,52,70.0
1,49,51,70.0
1,50,50,70.0
1,51,49,70.0
1,52,48,70.0
1,53,47,70.0
1,54,46,70.0
1,55,45,70.0
1,56,44,70.0
1,57,43,70.0
1,58,42,70.0
1,59,41,70.0
1,60,40,70.0
1,61,39,70.0
1,62,38,70.0
1,63,37,70.0
1,64,36,70.0
1,65,35,70.0
1,66,34,70.0
1,67,33,70.0
1,68,32,70.0
1,69,31,70.0
1,70,30,70.0
1,71,29,70.0
1,72,28,70.0
1,73,27,70.0
1,74,26,70.0
1,75,25,66.6666666667
1,76,24,66.6666666667
1,77,23,66.6666666667
1,78,22,66.6666666667
1,79,21,66.6666666667
1,80,20,66.6666666667
1,81,19,66.6666666667
1,82,18,66.6666666667
1,83,17,66.6666666667
1,84,16,66.6666666667
1,85,15,66.6666666667
1,86,14,66.6666666667
1,87,13,66.6666666667
1,88,12,66.6666666667
1,89,11,66.6666666667
1,90,10,66.6666666667
1,91,9,66.6666666667
1,92,8,66.6666666667
1,93,7,66.6666666667
1,94,6,66.6666666667
1,95,5,66.6666666667
1,96,4,70.0
1,97,3,70.0
1,98,2,70.0
2,0,100,20.0
2,1,99,70.0
2,2,98,66.6666666667
2,3,97,66.6666666667
2,4,96,70.0
2,5,95,70.0
2,6,94,70.0
2,7,93,70.0
2,8,92,70.0
2,9,91,70.0
2,10,90,70.0
2,11,89,70.0
2,12,88,70.0
2,13,87,73.3333333333
2,14,86,73.3333333333
2,15,85,73.3333333333
2,16,84,73.3333333333
2,17,83,73.3333333333
2,18,82,73.3333333333
2,19,81,70.0
2,20,80,70.0
2,21,79,70.0
2,22,78,70.0
2,23,77,70.0
2,24,76,70.0
2,25,75,70.0
2,26,74,70.0
2,27,73,70.0
2,28,72,70.0
2,29,71,70.0
2,30,70,70.0
