i,j,k,accuracy
0,0,10,20.0
0,1,9,73.3333333333
0,2,8,73.3333333333
0,3,7,70.0
0,4,6,66.6666666667
0,5,5,66.6666666667
0,6,4,70.0
0,7,3,73.3333333333
0,8,2,73.3333333333
0,9,1,73.3333333333
1,0,9,20.0
1,1,8,73.3333333333
1,2,7,70.0
1,3,6,66.6666666667
1,4,5,66.6666666667
1,5,4,70.0
1,6,3,70.0
1,7,2,70.0
1,8,1,70.0
2,0,8,20.0
2,1,7,66.6666666667
2,2,6,70.0
2,3,5,66.6666666667
2,4,4,70.0
2,5,3,70.0
2,6,2,70.0
2,7,1,70.0
3,0,7,20.0
3,1,6,70.0
3,2,5,70.0
3,3,4,70.0
3,4,3,70.0
3,5,2,70.0
3,6,1,70.0
4,0,6,20.0
4,1,5,70.0
4,2,4,70.0
4,3,3,70.0
4,4,2,70.0
4,5,1,70.0
5,0,5,20.0
5,1,4,70.0
5,2,3,70.0
5,3,2,70.0
5,4,1,70.0
6,0,4,20.0
6,1,3,70.0
6,2,2,70.0
6,3,1,70.0
7,0,3,20.0
7,1,2,70.0
7,2,1,70.0
8,0,2,20.0
8,1,1,66.6666666667
9,0,1,20.0
