i,j,k,accuracy
0,0,0,20.0
0,0,1,20.0
0,0,2,20.0
0,0,3,20.0
0,0,4,20.0
0,1,0,20.0
0,1,1,66.6666666667
0,1,2,70.0
0,1,3,73.3333333333
0,1,4,73.3333333333
0,2,0,20.0
0,2,1,73.3333333333
0,2,2,66.6666666667
0,2,3,66.6666666667
0,2,4,70.0
0,3,0,20.0
0,3,1,73.3333333333
0,3,2,70.0
0,3,3,66.6666666667
0,3,4,66.6666666667
0,4,0,20.0
0,4,1,73.3333333333
0,4,2,73.3333333333
0,4,3,66.6666666667
0,4,4,66.6666666667
1,0,0,20.0
1,0,1,20.0
1,0,2,20.0
1,0,3,20.0
1,0,4,20.0
1,1,0,70.0
1,1,1,70.0
1,1,2,70.0
1,1,3,70.0
1,1,4,73.3333333333
1,2,0,70.0
1,2,1,70.0
1,2,2,70.0
1,2,3,66.6666666667
1,2,4,66.6666666667
1,3,0,70.0
1,3,1,70.0
1,3,2,70.0
1,3,3,70.0
1,3,4,66.6666666667
1,4,0,70.0
1,4,1,70.0
1,4,2,70.0
1,4,3,70.0
1,4,4,70.0
2,0,0,20.0
2,0,1,20.0
2,0,2,20.0
2,0,3,20.0
2,0,4,20.0
2,1,0,70.0
2,1,1,70.0
2,1,2,70.0
2,1,3,70.0
2,1,4,70.0
2,2,0,70.0
2,2,1,70.0
2,2,2,70.0
2,2,3,70.0
2,2,4,70.0
2,3,0,70.0
2,3,1,70.0
2,3,2,70.0
2,3,3,70.0
2,3,4,70.0
2,4,0,70.0
2,4,1,70.0
2,4,2,70.0
2,4,3,70.0
2,4,4,70.0
3,0,0,20.0
3,0,1,20.0
3,0,2,20.0
3,0,3,20.0
3,0,4,20.0
3,1,0,70.0
3,1,1,70.0
3,1,2,70.0
3,1,3,70.0
3,1,4,70.0
3,2,0,70.0
3,2,1,70.0
3,2,2,70.0
3,2,3,70.0
3,2,4,70.0
3,3,0,70.0
3,3,1,70.0
3,3,2,70.0
3,3,3,70.0
3,3,4,70.0
3,4,0,70.0
3,4,1,70.0
3,4,2,70.0
3,4,3,70.0
3,4,4,70.0
4,0,0,20.0
4,0,1,20.0
4,0,2,20.0
4,0,3,20.0
4,0,4,20.0
4,1,0,70.0
4,1,1,70.0
4,1,2,70.0
4,1,3,70.0
4,1,4,70.0
4,2,0,70.0
4,2,1,70.0
4,2,2,70.0
4,2,3,70.0
4,2,4,70.0
4,3,0,70.0
4,3,1,70.0
4,3,2,70.0
4,3,3,70.0
4,3,4,70.0
4,4,0,70.0
4,4,1,70.0
4,4,2,70.0
4,4,3,70.0
4,4,4,70.0
