i,j,k,accuracy
0,1,9,89.0
0,5,5,87.6666666667
0,2,8,88.0
0,6,4,87.6666666667
0,3,7,87.6666666667
0,0,10,16.6666666667
0,7,3,88.0
0,4,6,87.6666666667
0,8,2,88.0
0,5,5,87.6666666667
0,9,1,88.0
0,1,9,90.0
0,6,4,87.6666666667
0,10,0,88.0
0,7,3,88.0
1,0,9,16.6666666667
0,2,8,94.6666666667
0,8,2,88.0
1,1,8,89.0
0,9,1,88.0
1,2,7,88.0
0,10,0,88.0
1,3,6,87.6666666667
0,3,7,97.3333333333
1,0,9,16.6666666667
1,4,5,87.6666666667
1,1,8,89.0
1,5,4,87.6666666667
1,2,7,88.0
0,4,6,98.3333333333
1,6,3,87.6666666667
1,3,6,87.6666666667
1,7,2,88.0
1,4,5,87.6666666667
1,8,1,88.0
0,5,5,98.0
1,5,4,87.6666666667
1,9,0,88.0
1,6,3,87.6666666667
2,0,8,16.6666666667
1,7,2,88.0
0,6,4,97.6666666667
2,1,7,89.0
1,8,1,88.0
2,2,6,88.0
1,9,0,88.0
2,3,5,87.6666666667
0,7,3,97.3333333333
2,0,8,16.6666666667
2,4,4,87.6666666667
2,1,7,89.0
2,5,3,87.6666666667
2,2,6,88.0
2,6,2,87.6666666667
0,8,2,96.0
2,3,5,87.6666666667
2,7,1,88.0
2,4,4,87.6666666667
2,8,0,88.0
0,9,1,92.0
2,5,3,87.6666666667
3,0,7,16.6666666667
2,6,2,87.6666666667
3,1,6,89.0
2,7,1,88.0
3,2,5,88.0
0,10,0,16.6666666667
2,8,0,88.0
3,3,4,87.6666666667
3,0,7,16.6666666667
3,4,3,87.6666666667
1,0,9,16.6666666667
3,1,6,89.0
3,5,2,87.6666666667
3,6,1,87.6666666667
3,2,5,88.0
3,7,0,88.0
3,3,4,87.6666666667
1,1,8,96.6666666667
3,4,3,87.6666666667
4,0,6,16.6666666667
4,1,5,89.0
3,5,2,87.6666666667
1,2,7,97.6666666667
3,6,1,87.6666666667
4,2,4,88.0
4,3,3,87.6666666667
3,7,0,88.0
4,0,6,16.6666666667
4,4,2,87.6666666667
1,3,6,98.0
4,1,5,89.0
4,5,1,87.6666666667
4,6,0,87.6666666667
4,2,4,88.0
1,4,5,98.0
4,3,3,87.6666666667
5,0,5,16.6666666667
4,4,2,87.6666666667
5,1,4,89.0
4,5,1,87.6666666667
5,2,3,88.0
1,5,4,98.0
4,6,0,87.6666666667
5,3,2,87.6666666667
5,0,5,16.6666666667
5,4,1,87.6666666667
1,6,3,96.6666666667
5,1,4,89.0
5,5,0,87.6666666667
5,2,3,88.0
6,0,4,16.6666666667
5,3,2,87.6666666667
6,1,3,89.0
1,7,2,95.0
5,4,1,87.6666666667
6,2,2,88.0
5,5,0,87.6666666667
6,3,1,87.6666666667
1,8,1,94.6666666667
6,0,4,16.6666666667
6,4,0,87.6666666667
6,1,3,89.0
7,0,3,16.6666666667
6,2,2,88.0
7,1,2,89.0
1,9,0,74.6666666667
6,3,1,87.6666666667
7,2,1,88.0
6,4,0,87.6666666667
7,3,0,87.6666666667
7,0,3,16.6666666667
2,0,8,16.6666666667
8,0,2,16.6666666667
7,1,2,89.0
8,1,1,89.0
7,2,1,88.0
8,2,0,88.0
2,1,7,94.0
7,3,0,87.6666666667
9,0,1,16.6666666667
8,0,2,16.6666666667
9,1,0,89.0
8,1,1,89.0
10,0,0,16.6666666667
2,2,6,96.0
8,2,0,88.0
9,0,1,16.6666666667
2,3,5,97.6666666667
9,1,0,89.0
10,0,0,16.6666666667
2,4,4,98.0
