i,j,k,accuracy
0,0,10,20.0
0,1,9,73.3333333333
0,2,8,73.3333333333
0,3,7,70.0
0,4,6,66.6666666667
0,5,5,66.6666666667
0,6,4,70.0
0,7,3,73.3333333333
0,8,2,73.3333333333
0,9,1,73.3333333333
1,0,10,20.0
1,1,9,70.0
1,2,8,70.0
1,3,7,70.0
1,4,6,66.6666666667
1,5,5,66.6666666667
1,6,4,70.0
1,7,3,70.0
1,8,2,70.0
2,0,10,20.0
2,1,9,70.0
2,2,8,73.3333333333
2,3,7,66.6666666667
2,4,6,66.6666666667
2,5,5,70.0
2,6,4,70.0
2,7,3,70.0
3,0,10,20.0
3,1,9,73.3333333333
3,2,8,73.3333333333
3,3,7,70.0
3,4,6,66.6666666667
3,5,5,70.0
3,6,4,70.0
4,0,10,20.0
4,1,9,73.3333333333
4,2,8,70.0
4,3,7,70.0
4,4,6,70.0
4,5,5,70.0
5,0,10,20.0
5,1,9,70.0
5,2,8,66.6666666667
5,3,7,70.0
5,4,6,70.0
6,0,10,20.0
6,1,9,70.0
6,2,8,70.0
6,3,7,70.0
7,0,10,20.0
7,1,9,66.6666666667
7,2,8,70.0
8,0,10,20.0
8,1,9,66.6666666667
9,0,10,20.0
