i,j,k,accuracy
0,0,10,20.0
0,1,9,70.0
0,2,8,70.0
0,3,7,70.0
0,4,6,66.6666666667
0,5,5,70.0
0,6,4,70.0
0,7,3,70.0
0,8,2,70.0
0,9,1,70.0
1,0,10,20.0
1,1,9,66.6666666667
1,2,8,70.0
1,3,7,70.0
1,4,6,70.0
1,5,5,66.6666666667
1,6,4,63.3333333333
1,7,3,63.3333333333
1,8,2,63.3333333333
2,0,10,20.0
2,1,9,56.6666666667
2,2,8,66.6666666667
2,3,7,73.3333333333
2,4,6,66.6666666667
2,5,5,63.3333333333
2,6,4,60.0
2,7,3,63.3333333333
3,0,10,20.0
3,1,9,53.3333333333
3,2,8,63.3333333333
3,3,7,66.6666666667
3,4,6,66.6666666667
3,5,5,60.0
3,6,4,60.0
4,0,10,20.0
4,1,9,53.3333333333
4,2,8,63.3333333333
4,3,7,60.0
4,4,6,60.0
4,5,5,60.0
5,0,10,20.0
5,1,9,60.0
5,2,8,63.3333333333
5,3,7,60.0
5,4,6,60.0
6,0,10,20.0
6,1,9,53.3333333333
6,2,8,63.3333333333
6,3,7,66.6666666667
7,0,10,20.0
7,1,9,56.6666666667
7,2,8,56.6666666667
8,0,10,20.0
8,1,9,56.6666666667
9,0,10,20.0
