i,j,k,accuracy
0,0,10,20.0
0,1,9,70.0
0,2,8,70.0
0,3,7,70.0
0,4,6,66.6666666667
0,5,5,70.0
0,6,4,70.0
0,7,3,70.0
0,8,2,70.0
0,9,1,70.0
1,0,9,20.0
1,1,8,66.6666666667
1,2,7,70.0
1,3,6,73.3333333333
1,4,5,70.0
1,5,4,63.3333333333
1,6,3,60.0
1,7,2,63.3333333333
1,8,1,66.6666666667
2,0,8,20.0
2,1,7,56.6666666667
2,2,6,70.0
2,3,5,66.6666666667
2,4,4,63.3333333333
2,5,3,63.3333333333
2,6,2,66.6666666667
2,7,1,66.6666666667
3,0,7,20.0
3,1,6,60.0
3,2,5,63.3333333333
3,3,4,60.0
3,4,3,63.3333333333
3,5,2,66.6666666667
3,6,1,66.6666666667
4,0,6,20.0
4,1,5,60.0
4,2,4,63.3333333333
4,3,3,63.3333333333
4,4,2,66.6666666667
4,5,1,66.6666666667
5,0,5,20.0
5,1,4,56.6666666667
5,2,3,60.0
5,3,2,60.0
5,4,1,63.3333333333
6,0,4,20.0
6,1,3,56.6666666667
6,2,2,53.3333333333
6,3,1,63.3333333333
7,0,3,20.0
7,1,2,63.3333333333
7,2,1,53.3333333333
8,0,2,20.0
8,1,1,60.0
9,0,1,20.0
